user,date,timestamp,artist,track,id
user2,2023-01-01,1672586280,KAMAUU,emptytrack,user2-1672586280
user2,2023-01-01,1672586475,Kriss,emptytrack,user2-1672586475
user2,2023-01-01,1672586699,Mark Saunders,emptytrack,user2-1672586699
user2,2023-01-01,1672586917,Sylvain Chauveau,emptytrack,user2-1672586917
user2,2023-01-01,1672587138,Isam Bachiri,emptytrack,user2-1672587138
user2,2023-01-01,1672587321,Kareem,emptytrack,user2-1672587321
user2,2023-01-01,1672587561,Bobby Caldwell,emptytrack,user2-1672587561
user2,2023-01-01,1672587798,B.o.B,emptytrack,user2-1672587798
user2,2023-01-01,1672588000,Anders Nilsen,emptytrack,user2-1672588000
user2,2023-01-01,1672588187,The Mojos,emptytrack,user2-1672588187
user2,2023-01-01,1672588423,Stavroz,emptytrack,user2-1672588423
user2,2023-01-01,1672588609,The Chosen One,emptytrack,user2-1672588609
user2,2023-01-01,1672588806,Omara Portuondo,emptytrack,user2-1672588806
user2,2023-01-01,1672588991,ROOM8,emptytrack,user2-1672588991
user2,2023-01-01,1672589214,Salmo,emptytrack,user2-1672589214
user3,2023-01-02,1672691100,Moses York,emptytrack,user3-1672691100
user3,2023-01-02,1672691288,Knapsack,emptytrack,user3-1672691288
user3,2023-01-02,1672691485,Totoy El Frio,emptytrack,user3-1672691485
user3,2023-01-02,1672691711,Joaquín Rodrigo,emptytrack,user3-1672691711
user3,2023-01-02,1672691942,Rino Gaetano,emptytrack,user3-1672691942
user3,2023-01-02,1672692147,Sebastian Walldén,emptytrack,user3-1672692147
user3,2023-01-02,1672692364,Alex Mills,emptytrack,user3-1672692364
user4,2023-01-01,1672562580,Tava,emptytrack,user4-1672562580
user4,2023-01-01,1672562796,SOHN,emptytrack,user4-1672562796
user4,2023-01-01,1672563003,Rocco Racks,emptytrack,user4-1672563003
user4,2023-01-01,1672563238,Rush & Hydro,emptytrack,user4-1672563238
user4,2023-01-01,1672563463,Georgel,emptytrack,user4-1672563463
user4,2023-01-01,1672563677,Gunna,emptytrack,user4-1672563677
user4,2023-01-01,1672563872,JayKode,emptytrack,user4-1672563872
user4,2023-01-01,1672564076,Stefan,emptytrack,user4-1672564076
user4,2023-01-01,1672564309,Richard Strauss,emptytrack,user4-1672564309
user4,2023-01-01,1672564500,Kevin Drew,emptytrack,user4-1672564500
user4,2023-01-01,1672564688,Ben William,emptytrack,user4-1672564688
user4,2023-01-01,1672564926,Willie Wartaal,emptytrack,user4-1672564926
user5,2023-01-02,1672629660,Kalaido,emptytrack,user5-1672629660
user5,2023-01-02,1672629856,Lucati,emptytrack,user5-1672629856
user5,2023-01-02,1672630037,Oliver Smith,emptytrack,user5-1672630037
user5,2023-01-02,1672630272,Elizaveta,emptytrack,user5-1672630272
user5,2023-01-02,1672630483,Maestro,emptytrack,user5-1672630483
user5,2023-01-02,1672630701,Cap Kendricks,emptytrack,user5-1672630701
user5,2023-01-02,1672630920,junior state,emptytrack,user5-1672630920
user5,2023-01-02,1672631129,SONIA,emptytrack,user5-1672631129
user5,2023-01-02,1672631345,A. K. Paul,emptytrack,user5-1672631345
user5,2023-01-02,1672631531,O'Flynn,emptytrack,user5-1672631531
user5,2023-01-02,1672631726,Adam Young,emptytrack,user5-1672631726
user8,2023-01-01,1672612680,Tubeway Army,emptytrack,user8-1672612680
user8,2023-01-01,1672612891,Pebbles,emptytrack,user8-1672612891
user8,2023-01-01,1672613094,Anteros,emptytrack,user8-1672613094
user8,2023-01-01,1672613318,Swisha T,emptytrack,user8-1672613318
user8,2023-01-01,1672613523,Röyksopp,emptytrack,user8-1672613523
user8,2023-01-01,1672613746,Jordan Grace,emptytrack,user8-1672613746
user8,2023-01-01,1672613979,Etham,emptytrack,user8-1672613979
user8,2023-01-01,1672614200,DJ Mustard Stain,emptytrack,user8-1672614200
user10,2023-01-01,1672590780,steichi,emptytrack,user10-1672590780
user10,2023-01-01,1672590965,Ganzfeld Effect,emptytrack,user10-1672590965
user10,2023-01-01,1672591186,Eyelar,emptytrack,user10-1672591186
user10,2023-01-01,1672591399,Nyanda,emptytrack,user10-1672591399
user10,2023-01-01,1672591616,Devvon Terrell,emptytrack,user10-1672591616
user10,2023-01-01,1672591856,Anna von Hausswolff,emptytrack,user10-1672591856
user10,2023-01-01,1672592091,Madsen,emptytrack,user10-1672592091
user10,2023-01-01,1672592278,MC Mota,emptytrack,user10-1672592278
user10,2023-01-01,1672592481,Lil Zay Osama,emptytrack,user10-1672592481
user10,2023-01-01,1672592695,Andre Lodemann,emptytrack,user10-1672592695
user10,2023-01-01,1672592903,Kill Them With Colour,emptytrack,user10-1672592903
user10,2023-01-01,1672593097,Wilbert Harrison,emptytrack,user10-1672593097
user10,2023-01-01,1672593289,The7eventh,emptytrack,user10-1672593289
user10,2023-01-02,1672675500,Devvon Terrell,emptytrack,user10-1672675500
user10,2023-01-02,1672675724,Run Rivers,emptytrack,user10-1672675724
user10,2023-01-02,1672675909,Cham,emptytrack,user10-1672675909
user10,2023-01-02,1672676141,Stef Chura,emptytrack,user10-1672676141
user10,2023-01-02,1672676369,Bob James,emptytrack,user10-1672676369
user10,2023-01-02,1672676549,Jeremiah Jae,emptytrack,user10-1672676549
user10,2023-01-02,1672676774,Joey Purp,emptytrack,user10-1672676774
user10,2023-01-02,1672676985,BonHaus,emptytrack,user10-1672676985
user10,2023-01-02,1672677200,Beatarce,emptytrack,user10-1672677200
user10,2023-01-02,1672677397,DJ Maff,emptytrack,user10-1672677397
user10,2023-01-02,1672677616,Majik,emptytrack,user10-1672677616
user10,2023-01-02,1672677856,Ultravox,emptytrack,user10-1672677856
user10,2023-01-02,1672678040,Josh Kumra,emptytrack,user10-1672678040
user10,2023-01-02,1672678244,Lani Mo,emptytrack,user10-1672678244
user10,2023-01-02,1672678438,Locnville,emptytrack,user10-1672678438
user10,2023-01-02,1672678641,Allé,emptytrack,user10-1672678641
user12,2023-01-01,1672583520,Sarah Finne Christensen,emptytrack,user12-1672583520
user12,2023-01-01,1672583751,Isa R.T.,emptytrack,user12-1672583751
user12,2023-01-01,1672583961,5&Dime,emptytrack,user12-1672583961
user12,2023-01-01,1672584166,Eagles,emptytrack,user12-1672584166
user12,2023-01-01,1672584379,Keaton Henson,emptytrack,user12-1672584379
user12,2023-01-01,1672584608,Nae,emptytrack,user12-1672584608
user12,2023-01-01,1672584804,Extreme Music,emptytrack,user12-1672584804
user12,2023-01-01,1672585034,Nacho Vegas,emptytrack,user12-1672585034
user12,2023-01-01,1672585226,The Forresters,emptytrack,user12-1672585226
user12,2023-01-01,1672585407,TOKYO ROSE,emptytrack,user12-1672585407
user12,2023-01-01,1672585633,Stargazer,emptytrack,user12-1672585633
user12,2023-01-01,1672585818,Jan Delay,emptytrack,user12-1672585818
user12,2023-01-01,1672586027,The Martinez Brothers,emptytrack,user12-1672586027
user12,2023-01-01,1672586215,Cyfë,emptytrack,user12-1672586215
user13,2023-01-01,1672567440,Syd Matters,emptytrack,user13-1672567440
user13,2023-01-01,1672567641,BRADO,emptytrack,user13-1672567641
user13,2023-01-01,1672567824,Christel Alsos,emptytrack,user13-1672567824
user13,2023-01-01,1672568012,The Heavy,emptytrack,user13-1672568012
user13,2023-01-02,1672622760,Papa Reu,emptytrack,user13-1672622760
user13,2023-01-02,1672622970,Denis Horvat,emptytrack,user13-1672622970
user13,2023-01-02,1672623195,Bad Sounds,emptytrack,user13-1672623195
user13,2023-01-02,1672623412,KB,emptytrack,user13-1672623412
user16,2023-01-01,1672556580,Joni Mitchell,emptytrack,user16-1672556580
user16,2023-01-01,1672556797,Fashion Week,emptytrack,user16-1672556797
user16,2023-01-01,1672557035,Wilbert Harrison,emptytrack,user16-1672557035
user16,2023-01-01,1672557224,The Twelves,emptytrack,user16-1672557224
user16,2023-01-01,1672557437,Kiki Gyan,emptytrack,user16-1672557437
user16,2023-01-01,1672557643,Groove Coverage,emptytrack,user16-1672557643
user16,2023-01-01,1672557828,Lil Mosey,emptytrack,user16-1672557828
user16,2023-01-01,1672558026,DJ Cassula,emptytrack,user16-1672558026
user16,2023-01-01,1672558213,Puerto Rican Power,emptytrack,user16-1672558213
